,Strang_order,N,beta,periodic,T,upsilon,sigma,p_dist,gamma,mean_var_R
59,[0],100000,1.0662492746848846,True,1.0,1e-05,1,1,0.42204045657348482,1.2658560273835719
60,[0],100000,0.067072901900551832,True,1.0,1e-05,1,1,0.82316315509819971,1.2666042954485512
61,[0],100000,0.89734388776367291,True,1.0,1e-05,1,1,1.6282812152289468,1.2666831435738748
62,[0],100000,0.024986798582357382,True,1.0,1e-05,1,1,1.6603235857106233,1.2662562221348241
63,[0],100000,0.93800670492421956,True,1.0,1e-05,1,1,0.19605570394840033,1.2666470705279678
64,[0],100000,0.85833127450620506,True,1.0,1e-05,1,1,0.42687470986256582,1.2662718204194285
65,[0],100000,2.9398418340577375,True,1.0,1e-05,1,1,1.9364494567792228,1.2662006410130966
66,[0],100000,0.061255571370869989,True,1.0,1e-05,1,1,0.20308392298255529,1.2663931308135676
67,[0],100000,0.062746584196624738,True,1.0,1e-05,1,1,0.044357942352233691,1.2665608291834853
68,[0],100000,0.29935632223452768,True,1.0,1e-05,1,1,0.010962011396891125,1.2667473800492042
69,[0],100000,0.040424109819317405,True,1.0,1e-05,1,1,0.048923642001185735,1.2664977827766764
70,[0],100000,1.9374826942745216,True,1.0,1e-05,1,1,3.2558071888651794,1.2659764317264937
71,[0],100000,2.1402304860889618,True,1.0,1e-05,1,1,49.419485572780033,1.2661410680804692
72,[0],100000,0.18900928133358247,True,1.0,1e-05,1,1,0.21286188444693227,1.2661018552682259
73,[0],100000,0.47345780248274905,True,1.0,1e-05,1,1,0.070465338344297773,1.2663019062144161
74,[0],100000,14.321278990068052,True,1.0,1e-05,1,1,0.5694640134858181,1.2663067781938788
75,[0],100000,3.7259640504976717,True,1.0,1e-05,1,1,0.45703808185159245,1.2664467229050518
76,[0],100000,0.13609267225964231,True,1.0,1e-05,1,1,1.0196526910315491,1.2663893532179193
77,[0],100000,3.4786454661009172,True,1.0,1e-05,1,1,0.054368304682665569,1.2669683421416589
78,[0],100000,0.16571453254834231,True,1.0,1e-05,1,1,4.7157448524029304,1.2664955791145296
79,[0],100000,2.390298812851166,True,1.0,1e-05,1,1,0.20216098247905648,1.2663315317968105
80,[0],100000,0.34500428668278793,True,1.0,1e-05,1,1,8.59065517855033,1.2667745582944263
81,[0],100000,0.033269716390730251,True,1.0,1e-05,1,1,2.2008197345376717,1.2662961584430259
82,[0],100000,0.71944666396793255,True,1.0,1e-05,1,1,1.4284209357979754,1.2665937605238069
83,[0],100000,0.5150302763226462,True,1.0,1e-05,1,1,5.0301191358432513,1.2666056250702487
84,[0],100000,0.047950262665572695,True,1.0,1e-05,1,1,0.56865228096649378,1.2662735839811221
85,[0],100000,4.9403297756801479,True,1.0,1e-05,1,1,7.4861142583319875,1.2667800189923804
86,[0],100000,0.14068392286111631,True,1.0,1e-05,1,1,8.7460753516378578,1.2660651496867368
87,[0],100000,8.3221527286979438,True,1.0,1e-05,1,1,0.27201111682408335,1.266696370117588
88,[0],100000,0.70331327385594999,True,1.0,1e-05,1,1,0.014856381598143932,1.2660918527150302
89,[0],100000,6.5292388306727327,True,1.0,1e-05,1,1,0.22795216812644284,1.26684681752674
90,[0],100000,1.7585564424863342,True,1.0,1e-05,1,1,4.0793761802731492,1.2663127729994825
91,[0],100000,0.35694051890283307,True,1.0,1e-05,1,1,0.048247538042759372,1.2667191444115746
92,[0],100000,0.10276633442581679,True,1.0,1e-05,1,1,4.9758036438810933,1.2664266896869503
93,[0],100000,678.5488959036785,True,1.0,1e-05,1,1,1.5297351909431889,1.2664492570075034
94,[0],100000,0.24953107175016678,True,1.0,1e-05,1,1,8.9404659656848064,1.2666366859551113
95,[0],100000,8.4193688336191439,True,1.0,1e-05,1,1,3.2434858619003646,1.2665959134951854
96,[0],100000,0.11146747459977575,True,1.0,1e-05,1,1,0.079938270433910469,1.2666283602153126
97,[0],100000,17.040943767614447,True,1.0,1e-05,1,1,8.8225568544909212,1.2665683296643557
98,[0],100000,0.3829324461372427,True,1.0,1e-05,1,1,1.5178269828979958,1.266446841659979
99,[0],100000,15.441768838543149,True,1.0,1e-05,1,1,77.659405036154624,1.2669432714548727
