,Strang_order,N,beta,T,upsilon,sigma,p_dist,gamma,mean_var_R
36,0.0,320.0,3.477287607855703,1.1249729022165607,2.0058820186157805e-11,1.0,1.0,2.701531384301554,0.6623035050903398
37,0.0,218.0,0.5689154971208326,7.566170309164849,6.689483762439946e-11,1.0,1.0,1.389679785478675,0.000551716770446839
38,0.0,2038.0,0.5442586744945743,20.237684516651278,4.7479975015530296e-11,1.0,1.0,3.2735031422066694,0.05550501296965518
39,0.0,306.0,1.9444185143385722,87.27887819214014,6.006123333196431e-11,1.0,1.0,7.848062085793414,1.5465715112282552e-07
40,0.0,352.0,2.409395724702864,29.181842571099946,6.081716098475727e-11,1.0,1.0,0.5237252044860575,1.5399917389335575e-05
41,0.0,380.0,4.193862236276652,38.81649963784732,8.599971810801508e-12,1.0,1.0,1.6319624268348216,9.484485562848752e-07
42,0.0,1032.0,1.1631996329130354,14.514277637974521,3.348225782975708e-10,1.0,1.0,0.9420660479370747,0.09363500857243928
43,0.0,746.0,1.0611147875920672,7.7085375129990705,7.988790590235163e-11,1.0,1.0,2.455416753530742,0.07738238745991202
44,0.0,1834.0,1.5336547386126915,53.667145092634954,5.781754623763381e-11,1.0,1.0,0.4180116102856567,0.0009453438444581364
45,0.0,1030.0,0.1426321757649073,7.153933798167793,3.593582672710096e-11,1.0,1.0,0.9035276982842029,0.15733874372712417
46,0.0,1014.0,4.301412700383976,10.596219585686585,4.022632911920371e-11,1.0,1.0,3.14341267426634,0.03895784978444075
47,0.0,1940.0,0.3961369065348825,10.009132139420545,2.5355710853220905e-10,1.0,1.0,0.7268391779978761,0.9671867520538349
48,0.0,6412.0,7.977796064177427,1.0537443519261644,1.8326961613106422e-10,1.0,1.0,0.520712779403761,0.18904888176817006
49,0.0,632.0,0.25217376465792146,26.444458790156318,1.6761636802064566e-10,1.0,1.0,1.9299745493269467,0.0006578279808969341
50,0.0,540.0,0.9959448310186,112.7532483640056,7.620800211303944e-11,1.0,1.0,0.7383807469221494,4.815789030420873e-07
51,0.0,304.0,1.5675101749884346,7.083827415489521,1.0056118317809808e-10,1.0,1.0,0.8583826660721146,0.004065885619216422
52,0.0,1186.0,0.22162005595949116,3.467662477327123,6.177067074159847e-11,1.0,1.0,0.21453150196655743,1.1836840570637286
53,0.0,3214.0,0.9932774943770525,1.7284550007348785,1.6423118576396736e-10,1.0,1.0,0.7974337064394414,0.729367762630386
54,0.0,6372.0,0.7963122814412783,23.734453421385798,1.2192967898011806e-10,1.0,1.0,1.5164257477345036,1.1150700440442993
55,0.0,282.0,1.5902309309179565,6.684433092431349,6.771386396729474e-11,1.0,1.0,4.963427390367012,0.002572141432775951
56,0.0,282.0,2.499330829385472,32.76901030404503,1.787696227220981e-10,1.0,1.0,0.43101624536101324,1.1776359701199599e-05
57,0.0,74.0,0.30718217935483827,3.343191232954009,6.337884553469614e-11,1.0,1.0,0.537578280952802,0.00018485600778107557
58,0.0,2258.0,0.6568690834596856,17.820713726989915,1.3556061199213263e-11,1.0,1.0,1.6686399525941982,0.04033380042893281
59,0.0,1918.0,0.5272643483766598,15.80886774560652,1.2514723731430736e-10,1.0,1.0,2.8530312020511657,0.24931355869049354
60,0.0,4816.0,4.230558479157415,24.82710556189734,1.269542744913293e-10,1.0,1.0,1.9795469869419904,0.7626231727258541
61,0.0,1948.0,0.7402516595955765,2.5754257229486544,1.313580862074613e-10,1.0,1.0,1.4216006966890686,1.606282361687873
62,0.0,854.0,0.6916257059632617,1.6447057527734694,2.665833960225495e-11,1.0,1.0,0.15793444265951184,1.3547330885442888
63,0.0,3192.0,18.746662444743805,4.328754774528822,2.8791302792527603e-11,1.0,1.0,1.5708468867584555,1.568437303673781
64,0.0,32.0,0.9111019702346433,6.078213087818682,5.037382589141659e-11,1.0,1.0,1.3505628545337407,4.6216316847372044e-07
65,0.0,434.0,0.2264728450331305,15.044865902765446,2.2073737152975458e-10,1.0,1.0,1.5961628759698014,0.0018340166306985905
66,0.0,496.0,0.6924759445022032,105.54352203951997,2.1487590602876964e-10,1.0,1.0,0.900688062866894,1.2666981982461665e-06
67,0.0,1612.0,0.29977048478508395,7.290472789136054,1.181321189481304e-10,1.0,1.0,2.063098107725067,0.8988808057042684
68,0.0,468.0,1.539424967274615,3.221078575042499,3.821275365728071e-11,1.0,1.0,0.44201013265308975,0.17110122748931936
69,0.0,1752.0,1.0587063314366298,29.747398726609372,2.701503728519894e-11,1.0,1.0,8.723366336596113,0.0038938537399417837
70,0.0,168.0,3.180577226989978,25.862404393302263,2.768249946516806e-11,1.0,1.0,0.41373763684494946,5.914863761026376e-07
71,0.0,1556.0,1.1867726536061864,44.15456001876202,3.720718616155462e-11,1.0,1.0,3.905888955643989,0.000688483713889806
72,0.0,320.0,1.2716439776457467,2.277077133394214,4.457726747412486e-11,1.0,1.0,0.34789513474743355,0.17320370816168995
73,0.0,884.0,0.6236444226313969,5.57972236860879,1.2637199873084354e-10,1.0,1.0,1.909059322762645,0.5169371338709113
74,0.0,3422.0,2.0803521200615767,1.592035632878276,8.181536340198738e-11,1.0,1.0,1.0728264923292254,0.9208349136163396
75,0.0,6760.0,1.2573561672238174,62.23718608607964,2.925376876849505e-10,1.0,1.0,3.1932764389669863,0.33606282858963255
